PID,Name,Title,PublicationType,ContentType,Language,Journal,JournalISSN,JournalEISSN,Status,Volume,Issue,HostPublication,StartPage,EndPage,Year,Edition,Pages,City,Publisher,Series,SeriesISSN,SeriesEISSN,ISBN,Urls,ISRN,DOI,ISI,PMID,ScopusId,NBN,LocalId,ArchiveNumber,Keywords,Categories,ResearchSubjects,Projects,Notes,Abstract,Opponents,Supervisors,Examiners,Patent,ThesisLevel,Credits,Programme,Subject,Uppsok,DefencePlace,DefenceLanguage,DefenceDate,CreatedDate,PublicationDate,LastUpdated
"1234241","Samzelius, Hugo (Nordiska museet [877150])","Sagor och sägner, skrock och öfvertro från finnbygder och lappmarker","Kapitel i bok, del av antologi","Övrigt vetenskapligt","swe","","","","","","","Meddelanden från Nordiska Museet : 1903","191","234","1905","","","Stockholm","Nordiska museets förlag","Fataburen","0348-971X","0348-971X","","","","","","","","urn:nbn:se:nordiskamuseet:diva-420","65b0517a-a025-4d28-83ba-961167e76ab0","","Sägner;Sagor","Etnologi (60503)","Vardagsliv och berättande","","","","","","","","","","","","","","","","2018-07-23","2018-07-23","2018-11-20"
"1270788","Liedgren, Rut (Nordiska museet [877150])","Sailor's gifts","Kapitel i bok, del av antologi","Övrigt vetenskapligt","eng","","","","","","","Fataburen : Nordiska museets och Skansens årsbok","25","42","1950","","","Stockholm","Nordiska museets förlag","Fataburen","0348-971X","0348-971X","","","","","","","","urn:nbn:se:nordiskamuseet:diva-1030","e23c98f9-9919-4214-ac18-28e87481e1a5","","Möbler;Heminredning","Konstvetenskap (60407)","Materiell kultur;Kulturhistoria","","","","","","","","","","","","","","","","2018-12-14","2018-12-14","2018-12-14"
"1283556","Andrén, Erik (Nordiska museet [877150])","Salsta slotts arkitekt","Kapitel i bok, del av antologi","Övrigt vetenskapligt","swe","","","","","","","Fataburen : Nordiska museets och Skansens årsbok","57","66","1952","","","Stockholm","Nordiska museets förlag","Fataburen","0348-971X","0348-971X","","","","","","","","urn:nbn:se:nordiskamuseet:diva-1069","de76e876-54aa-4ec7-814c-e3f223ac0238","","Salsta slott;Nicodemus Tessin d. ä.","Arkitektur (60405)","Byggnader och bebyggelse","","","","","","","","","","","","","","","","2019-01-29","2019-01-29","2019-01-29"
"1303256","Appelgren, Stig (Nordiska museet [877150])","Sam Owen Jansson : 1906-1985","Kapitel i bok, del av antologi","Övrigt vetenskapligt","swe","","","","","","","Fataburen : Nordiska museets och Skansens årsbok","175","177","1985","","","Stockholm","Nordiska museets förlag","Fataburen","0348-971X","0348-971X","","","","","","","","urn:nbn:se:nordiskamuseet:diva-1570","b9e7bb38-5334-4a19-b4e9-d62f856a366a","","Nordiska museets personal;Sam Owen Jansson","Etnologi (60503)","Nordiska museet","","","","","","","","","","","","","","","","2019-04-09","2019-04-09","2019-04-09"
"1345239","Nylund, Anna-Vera","Sameliv på Skansen : om natur och kultur, upplevelser och lärande","Kapitel i bok, del av antologi","Övrigt vetenskapligt","swe","","","","","","","För Sápmi i tiden","138","157","2008","","","Stockholm","Nordiska museets förlag","Fataburen","0348-971X","0348-971X","","","","","","","","urn:nbn:se:nordiskamuseet:diva-1946","d5cef0df-083f-4aae-b356-710944881eed","","Samer;Skansen","Annan humaniora (605)","Skansen","","","","","","","","","","","","","","","","2019-08-23","2019-08-23","2019-08-23"
"1345212","Jonsson, Johan","Samer i bild - bilder av samer : ett fotografi och tre berättelser","Kapitel i bok, del av antologi","Övrigt vetenskapligt","swe","","","","","","","För Sápmi i tiden","107","120","2008","","","Stockholm","Nordiska museets förlag","Fataburen","0348-971X","0348-971X","","","","","","","","urn:nbn:se:nordiskamuseet:diva-1944","2d3dbe00-e5c1-4a07-9315-014fc7af7139","","Samer.Fotogtafier","Annan humaniora (605)","Sociala och kulturella identiteter;Etnologi","","","","","","","","","","","","","","","","2019-08-23","2019-08-23","2019-08-23"
"1344982","Jönses, Lars (Nordiska museet [877150])","Samerna i den kulturella konstruktionen av territoriet","Kapitel i bok, del av antologi","Övrigt vetenskapligt","swe","","","","","","","För Sápmi i tiden","43","57","2008","","","Stockholm","Nordiska museets förlag","Fataburen","0348-971X","0348-971X","","","","","","","","urn:nbn:se:nordiskamuseet:diva-1940","0eba3bf7-4b16-4099-a0c2-050e0f37ff18","","Samer;Historia","Annan humaniora (605)","Etnologi;Sociala och kulturella identiteter","","","","","","","","","","","","","","","","2019-08-22","2019-08-22","2019-08-23"
"1344952","Svonni, Mikael","Samerna i språkhistorien","Kapitel i bok, del av antologi","Övrigt vetenskapligt","swe","","","","","","","För Sápmi i tiden","32","42","2008","","","Stockholm","Nordiska museets förlag","Fataburen","0348-971X","0348-971X","","","","","","","","urn:nbn:se:nordiskamuseet:diva-1939","01629cd9-084e-4601-849c-a3993ef5e46a","","Samer;Samiska språk","Jämförande språkvetenskap och allmän lingvistik (60201)","Sociala och kulturella identiteter;Historia","","","","","","","","","","","","","","","","2019-08-22","2019-08-22","2019-08-23"
"1306708","Kjellström, Rolf (Nordiska museet [877150])","Samernas traditionella lekar och spel","Kapitel i bok, del av antologi","Övrigt vetenskapligt","swe","","","","","","","Leka för livet","152","165","1991","","","Stockholm","Nordiska museets förlag","Fataburen","0348-971X","0348-971X","","","","","","","","urn:nbn:se:nordiskamuseet:diva-1659","387d1722-5bc2-4cd5-96a9-0fdeb3bb7b19","","Samer;Lekar;Spel","Annan humaniora (605)","Kulturhistoria;Seder och bruk","","","","","","","","","","","","","","","","2019-04-24","2019-04-24","2019-04-25"
"1365818","Melin, Boel","Samevistet","Kapitel i bok, del av antologi","Övrigt vetenskapligt","swe","","","","","","","Skansen 125","120","121","2016","","","Stockholm","Nordiska museets förlag","Fataburen","0348-971X","0348-971X","","","","","","","","urn:nbn:se:nordiskamuseet:diva-2125","42c089e0-a868-4c61-9046-32beb22f667e","","Skansen;Samer","Annan humaniora (605)","Skansen","","","","","","","","","","","","","","","","2019-10-25","2019-10-25","2019-10-28"
